Inf,UID,Name,Club,Position,Age,Ability,Transfer Value,Salary,Aerial Reach,Strength,Jumping Reach,Vision,Bravery,Technique,Heading,First Touch,Pace,Positioning,Decisions,Control,Composure,Anticipation,Tackling,Pass,Marking,Recommendation
,55070299,Rúben Dias - Portuguese,Man City - English Premier Division,D (C),26,Unknown,£215M - £236M,"£325,000 p/w",3,16,16,13,18,13,15,13,13,17,15,16,15,17,18,14,17,- - -
,67197145,Lucas Hernández - French,Paris SG - Ligue 1 Uber Eats,D (LC),27,Unknown,£143M - £173M,"£275,000 p/w",3,14,14,12,19,13,14,14,15,16,14,15,14,16,17,14,16,- - -
,24060473,Joško Gvardiol - Croatian,Man City - English Premier Division,"D (LC), WB (L)",21,Unknown,£98M - £118M,"£200,000 p/w",2,16,13,13,17,13,13,13,15,14,13,14,16,14,14,14,14,- - -
,92088306,Nico Schlotterbeck - German,Borussia Dortmund - Bundesliga,"D (LC), DM",24,Unknown,£92M - £139M,"£74,000 p/w",3,16,16,15,17,13,15,12,14,15,14,12,15,13,16,15,14,- - -
,49056273,Castello Lukeba - French,RB Leipzig - Bundesliga,D (LC),21,Unknown,£88M - £107M,"£66,000 p/w",2,15,13,13,14,13,13,12,15,15,13,14,16,16,13,14,14,- - -
,91107360,Niklas Süle - German,Borussia Dortmund - Bundesliga,D (RC),28,Unknown,£85M - £130M,"£190,000 p/w",2,18,17,13,15,13,15,12,16,15,13,14,15,14,15,14,15,- - -
,86066853,Piero Hincapié - Ecuadorian,Bayer 04 - Bundesliga,"D (LC), WB (L)",21,Unknown,£76M - £91M,"£58,000 p/w",4,14,13,12,16,12,13,12,15,14,13,13,14,14,15,13,15,- - -
Inj,37084591,Micky van de Ven - Dutch,Tottenham - English Premier Division,"D (LC), WB (L)",22,Unknown,£71M - £90M,"£100,000 p/w",3,15,15,12,16,13,13,12,19,14,14,13,13,13,14,13,14,- - -
,49048365,Tanguy Nianzou - French,Sevilla - Spanish First Division,"D (C), DM",21,Unknown,£68M - £82M,"£66,000 p/w",1,15,16,13,14,13,16,12,13,14,13,13,15,13,13,14,13,- - -
Inj,49037900,Wesley Fofana - French,Chelsea - English Premier Division,D (C),23,Unknown,£61M - £93M,"£230,000 p/w",1,15,16,12,13,14,16,12,16,15,12,13,14,14,15,12,15,- - -
,85085378,Aymeric Laporte - Spanish,Al-Nassr (KSA) - Saudi Professional League,D (C),29,Unknown,£56M - £85M,"£400,000 p/w",4,15,16,14,15,14,16,13,13,16,16,14,16,14,14,15,15,- - -
,43500755,Giorgio Scalvini - Italian,Atalanta - Italian Serie A,D (C),20,Unknown,£54M - £68M,"£24,500 p/w",3,15,15,12,14,14,15,13,13,15,15,15,15,17,15,12,14,- - -
Wnt,48044499,Jean-Clair Todibo - French,OGC Nice - Ligue 1 Uber Eats,D (C),24,,£54M - £66M,"£20,500 p/w",2,15,16,15,15,15,14,13,16,13,12,13,15,15,16,14,15,- - -
,49047065,Mohamed Simakan - French,RB Leipzig - Bundesliga,"D (RC), WB (R)",23,Unknown,£50M - £60M,"£74,000 p/w",1,15,14,12,16,12,14,12,16,14,13,13,14,14,15,13,14,- - -
Int,13196616,Edmond Tapsoba - Burkinabé,Bayer 04 - Bundesliga,"D (C), DM",24,Unknown,£43M - £65M,"£82,000 p/w",2,15,15,13,13,13,13,12,14,16,14,14,16,14,15,14,15,- - -
