UID,Name,Club,Position,Age,Average Transfer Value,Saves Parried,Saves Tipped,Saves Held,Save Percentage,Passes Completed per 90,Inteceptions per 90,Expected Save Percentage,Expected Goals pervented per 90,Average Rating,Games Win Ratio,Goals allowed Per 90,Total Saves Per 90,Key Passes Per 90,Passes attempted per 90,Pass Completion Ratio,Progressive Passes Per 90,Player Of The Match,Pens Saved Ratio,Salary
67201634,André Onana - Cameroonian,Man UFC - English Premier Division,GK,28,"£118,000,000.00",40.00,23.00,56.00,28.13,28.13,0.19,-0.07,-0.07,7.06,0.87,0.87,2.00,0,29.06,0.97,0.13,3.00,0.5,"110,000.00"
98040383,Gregor Kobel - Swiss,Borussia Dortmund - Bundesliga,GK,26,"£99,000,000.00",67.00,20.00,22.00,27.1,27.1,0,-0.15,-0.15,6.86,1.12,1.12,2.00,0,31.68,0.86,0.05,3.00,0,"150,000.00"
43140326,Alex Meret - Italian,Parthenope - Italian Serie A,GK,27,"£92,000,000.00",70.00,25.00,50.00,18.19,18.19,0.02,0.18,0.18,6.94,0.88,0.88,2.00,0,24.82,0.73,0.35,2.00,0.2,"80,000.00"
28054565,Jordan Pickford - English,Everton - English Premier Division,GK,30,"£67,000,000.00",64.00,25.00,89.00,12.9,12.9,0.07,0.04,0.04,6.85,1.44,1.44,4.00,0,22.07,0.58,1.71,1.00,0.27,"150,000.00"
67183918,Álex Remiro - Spanish,Real San Sebastián - Spanish First Division,GK,29,"£69,000,000.00",83.00,28.00,38.00,30.97,30.97,0,0.15,0.15,6.93,1.04,1.04,3.00,0,33.8,0.92,0.07,5.00,0,"36,500.00"
67200923,Unai Simón - Spanish,A. Bilbao - Spanish First Division,GK,26,"£57,500,000.00",57.00,23.00,28.00,23.29,23.29,0,0.33,0.33,6.78,0.97,0.97,3.00,0,27.59,0.84,0.03,1.00,0,"54,000.00"
2000094715,Guillaume Restes - French,Toulouse FC - Ligue 1 Uber Eats,GK,19,"£52,000,000.00",77.00,34.00,63.00,19.01,19.01,0,0.25,0.25,6.66,1.36,1.36,4.00,0,25.78,0.74,0.22,3.00,0.5,"11,000.00"
67283140,Filip Jörgensen - Swedish,Villarreal - Spanish First Division,GK,22,"£50,500,000.00",77.00,33.00,37.00,22.48,22.48,0.02,0.1,0.1,6.75,1.21,1.21,3.00,0,28.79,0.78,0.13,0.00,0,"26,000.00"
43094150,Ivan Provedel - Italian,Lazio - Italian Serie A,GK,30,"£49,500,000.00",81.00,19.00,41.00,28.14,28.14,0,0.01,0.01,6.91,1.06,1.06,2.00,0.02,31.47,0.89,0.06,4.00,0.4,"30,500.00"
71101334,Anatolii Trubin - Ukrainian,Benfica - Portuguese Premier League,GK,22,"£49,000,000.00",49.00,24.00,27.00,23.57,23.57,0.03,0.21,0.21,7,0.89,0.89,2.00,0,28.34,0.83,0.2,1.00,0,"25,500.00"
49040115,Illan Meslier - French,Leeds - Sky Bet Championship,GK,24,"£38,500,000.00",57.00,27.00,27.00,20.36,20.36,0.07,0.17,0.17,6.97,0.8,0.8,2.00,0.02,25.57,0.8,0.04,3.00,1,"45,500.00"
59138294,Giorgi Mamardashvili - Georgian,Valencia - Spanish First Division,GK,23,"£38,500,000.00",80.00,21.00,24.00,27.51,27.51,0,0.24,0.24,6.69,1.29,1.29,3.00,0,30.51,0.9,0,1.00,0.38,"28,000.00"
83169226,Diogo Costa - Portuguese,FC Porto - Portuguese Premier League,GK,24,"£38,000,000.00",47.00,15.00,32.00,25.37,25.37,0,0.14,0.14,7.12,0.91,0.91,2.00,0.03,30.4,0.83,0.21,5.00,0,"30,500.00"
67157624,Kepa Arrizabalaga - Spanish,R. Madrid - Spanish First Division,GK,29,"£37,500,000.00",69.00,28.00,38.00,25.83,25.83,0.08,0.05,0.05,7.01,0.89,0.89,2.00,0.02,27.58,0.94,0,0.00,1,"220,000.00"
92056834,Mark Flekken - Dutch,Brentford - English Premier Division,GK,30,"£35,000,000.00",60.00,33.00,69.00,14.88,14.88,0.09,0.06,0.06,6.87,1.26,1.26,3.00,0,22.98,0.65,0.86,2.00,0.4,"35,000.00"
52094936,Gavin Bazunu - Irish,Southampton - Sky Bet Championship,GK,22,"£34,000,000.00",61.00,15.00,38.00,18.42,18.42,0.07,0.06,0.06,6.86,0.91,0.91,2.00,0,25.47,0.72,0,2.00,0.33,"24,000.00"
49048357,Lucas Chevalier - French,LOSC - Ligue 1 Uber Eats,GK,22,"£30,000,000.00",101.00,32.00,43.00,23.01,23.01,0.06,0.35,0.35,6.87,0.99,0.99,3.00,0.02,27.3,0.84,0.04,6.00,0.25,"10,000.00"
67178152,Pau López - Spanish,OM - Ligue 1 Uber Eats,GK,29,"£26,500,000.00",69.00,21.00,33.00,27.53,27.53,0,0.22,0.22,6.83,0.99,0.99,2.00,0,31.5,0.87,0.02,3.00,0.17,"64,000.00"
85073883,Brice Samba - French,RC Lens - Ligue 1 Uber Eats,GK,30,"£22,500,000.00",66.00,25.00,48.00,19.02,19.02,0.05,0.01,0.01,6.79,1.38,1.38,3.00,0.02,24.36,0.78,0.45,0.00,0,"25,500.00"
70097314,Uğurcan Çakır - Turkish,Trabzonspor - Turkish Super League,GK,28,"£23,500,000.00",49.00,15.00,29.00,19.88,19.88,0,0.46,0.46,7.12,0.79,0.79,2.00,0,27.79,0.72,0,3.00,0,"68,000.00"
