"Name","Position","Age","Height","Weight","Inf","Club","Division","Nationality","Home-Grown","Personality","Media Handling","Wage","Transfer Value","Asking Price","Preferred Foot","Starts","Minutes Played","Average Rating","Sub Appearances","Minutes/Game","Goals (percentile)","Goals/90 (percentile)","Minutes/Goal (percentile)","xG (percentile)","xG/90 (percentile)","xG/Shot (percentile)","xG Overperformance (percentile)","xG Overperformance/90 (percentile)","Non-pen Goals (percentile)","Non-pen Goals/90 (percentile)","Non-pen Goals/Shot (percentile)","Minutes/Non-pen Goal (percentile)","Non-pen xG (percentile)","Non-pen xG/90 (percentile)","Non-pen Goals - Non-pens xG /90 (percentile)","Non-pen xG/Shot (percentile)","Non-pen xG Overperformance (percentile)","Non-pen xG Overperformance/90 (percentile)","Goals Outside Box (percentile)","Goals Outside Box/90 (percentile)","Assists (percentile)","Assists/90 (percentile)","Minutes/Assist (percentile)","xA (percentile)","xA/90 (percentile)","xA Overperformance (percentile)","xA Overperformance/90 (percentile)","Assists/Clear Cut Chances Created (percentile)","Goal Contributions (percentile)","Goal Contributions/90 (percentile)","xGC (percentile)","xGC/90 (percentile)","xGC Overperformance (percentile)","xGC Overperformance/90 (percentile)","Non-pen Goal Contributions (percentile)","Non-pen Goal Contributions/90 (percentile)","Non-pen xGC (percentile)","Non-pen xGC/90 (percentile)","Non-pen xGC Overperformance (percentile)","Non-pen xGC Overperformance/90 (percentile)","Conversion % (percentile)","Shots (percentile)","Shots/90 (percentile)","Shots on Target (percentile)","Shots on Target/90 (percentile)","Shots on Target % (percentile)","Shots Outside Box/90 (percentile)","Passes Attempted (percentile)","Passes Attempted/90 (percentile)","Passes Completed (percentile)","Passes Completed/90 (percentile)","Pass Completion % (percentile)","Progressive Passes/90 (percentile)","Progressive Passes (percentile)","Progressive Pass Rate (percentile)","Key Passes (percentile)","Key Passes/90 (percentile)","Key Pass % (percentile)","Open Play Key Passes (percentile)","Open Play Key Passes/90 (percentile)","Open Play Key Pass % (percentile)","Crosses Attempted (percentile)","Crosses Attempted/90 (percentile)","Crosses Completed (percentile)","Crosses Completed/90 (percentile)","Crosses Completed % (percentile)","Open Play Crosses Attempted (percentile)","Open Play Crosses Attempted/90 (percentile)","Open Play Crosses Completed (percentile)","Open Play Crosses Completed/90 (percentile)","Open Play Cross Completion % (percentile)","Chances Created (percentile)","Chances Created/90 (percentile)","Clear Cut Chances Created (percentile)","Clear Cut Chances Created/90 (percentile)","Pressures Attempted (percentile)","Pressures Attempted/90 (percentile)","Pressures Completed (percentile)","Pressures Completed/90 (percentile)","Pressure Success % (percentile)","Possession Won/90 (percentile)","Possession Lost/90 (percentile)","Poss+-/90 (percentile)","Poss+- % (percentile)","Dribbles/90 (percentile)","Dribbles (percentile)","Penalties Taken (percentile)","Penalties Scored (percentile)","Pens Scored % (percentile)","Tackles Attempted (percentile)","Tackles Attempted/90 (percentile)","Tackles Completed (percentile)","Tackles Completed/90 (percentile)","Tackles Failed (percentile)","Tackle Completion % (percentile)","Tackles Failed/90 (percentile)","Key Tackles (percentile)","Key Tackles/90 (percentile)","Tackle Quality (percentile)","Interceptions (percentile)","Interceptions/90 (percentile)","Blocks (percentile)","Blocks/90 (percentile)","Shots Blocked (percentile)","Shots Blocked/90 (percentile)","Headers Attempted (percentile)","Headers Attempted/90 (percentile)","Headers Won (percentile)","Headers Won/90 (percentile)","Headers Won % (percentile)","Headers Lost (percentile)","Headers Lost/90 (percentile)","Headers Lost % (percentile)","Key Headers (percentile)","Key Headers/90 (percentile)","Aerial Challenges Attempted/90 (percentile)","Duels Win % (percentile)","Fouls Against (percentile)","Fouls Made (percentile)","Net Fouls (percentile)","Fouls Won/90 (percentile)","Fouls Committed/90 (percentile)","Clearances (percentile)","Clearances/90 (percentile)","Offsides (percentile)","Offsides/90 (percentile)","Offside/Non-pen Goals (percentile)","Offside/Non-pen xG (percentile)","Distance Covered/90 (percentile)","Distance Covered (percentile)","Total Saves (percentile)","Saves/90 (percentile)","Save % (percentile)","xSave % (percentile)","xSave % Overperformance (percentile)","Saves Held (percentile)","Saves Held/90 (percentile)","Saves Held Ratio (percentile)","Saves Held/Shots Faced Ratio (percentile)","Saves Tipped (percentile)","Saves Tipped/90 (percentile)","Saves Tipped Ratio (percentile)","Saves Tipped/Shots Faced Ratio (percentile)","Saves Parried (percentile)","Saves Parried/90 (percentile)","Saves Parried Ratio (percentile)","Saves Parried/Shots Faced Ratio (percentile)","Saves/Goal Conceaded (percentile)","Save Efficiency (percentile)","Shots on Target Against (percentile)","Shots on Target Against/90 (percentile)","xGP (percentile)","xGP/90 (percentile)","Penalties Faced (percentile)","Penalties Saved (percentile)","Pens Saved % (percentile)","Goals Conceded (percentile)","Conceded/90 (percentile)","Clean Sheets (percentile)","Clean Sheet Ratio (percentile)","Red Cards (percentile)","Yellow Cards (percentile)","Yellows/Tackle (percentile)","Reds/Tackle (percentile)","Yellows/90 (percentile)","Reds/90 (percentile)","Player of the Match (percentile)","Mistakes Leading to Goal (percentile)","Sprints/90 (percentile)","Attacking Actions/90 (percentile)","Creative Actions/90 (percentile)","Defensive Actions/90 (percentile)","Goalkeeping Actions/90 (percentile)","Excitement Factor/90 (percentile)","General Performance","Goalkeeping","Defensive Defender","Creative Defender","Attacking Defender","Creative Midfielder","Attacking Midfielder","Creative Winger","Attacking Winger","Creative Forward","Attacking Forward","Finisher","Aerial Threat","Reader","Assister","Ball Winning Defenders"
"Kylian Mbappé","AM (RL), ST (C)",25,"5'10""","160 lbs","-","R. Madrid","Spanish First Division","FRA","-","Driven","Evasive","£500,000 p/w","£251M - £300M","-","Right",49,4052,7.6,0,82.69,100,98,97,100,98,70,100,96,100,95,66,95,100,96,95,43,100,95,86,46,100,94,94,100,97,98,84,55,100,98,100,98,100,96,100,98,100,97,100,96,78,100,98,100,98,83,97,75,12,74,13,21,17,61,20,96,72,92,98,76,97,78,49,79,47,80,80,47,85,52,81,100,97,100,96,92,32,79,23,14,24,87,63,60,73,96,100,100,21,75,15,73,14,25,35,76,0,0,10,80,21,34,3,0,0,98,68,80,33,20,0,15,22,0,0,71,4,100,2,99,92,30,68,15,0,2,18,9,42,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,24,37,100,46,100,100,100,26,99,93,7,0,89,99,0,17,87,100,99,100,99,99,100,100,99,46,29,97,37
"Kevin De Bruyne","M (RLC), AM (C)",32,"5'11""","149 lbs","-","Man City","English Premier Division","BEL","-","Professional","Level-headed","£400,000 p/w","Not for Sale","-","Right",44,3482,7.35,0,79.14,87,58,58,96,76,60,28,50,89,59,40,61,97,79,50,64,28,50,0,2,99,92,92,100,98,34,58,69,98,85,99,92,25,52,98,86,100,94,25,52,36,96,76,93,70,51,60,95,72,94,70,44,57,90,48,100,99,95,99,95,75,98,91,98,88,20,82,56,63,32,23,99,96,99,91,98,75,98,78,50,89,92,93,93,74,94,0,0,0,87,44,90,49,31,68,76,0,0,79,95,72,87,53,0,0,66,3,65,17,43,30,88,46,0,0,3,57,88,24,87,52,66,67,19,17,35,33,33,64,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,94,100,59,82,95,32,0,78,98,0,53,98,95,99,98,100,99,99,99,83,22,58,98,58
"Mohamed Salah","AM (RL), ST (C)",31,"5'9""","158 lbs","-","Liverpool","English Premier Division","EGY","-","Model Citizen","Unflappable","£375,000 p/w","Not for Sale","-","Left",39,3323,7.86,0,85.21,97,81,81,99,89,60,92,77,96,78,47,78,98,87,80,43,93,80,94,71,99,93,92,99,90,99,90,84,99,94,99,93,99,88,99,93,99,92,99,89,55,99,90,98,87,63,90,86,47,86,48,52,43,83,54,99,91,88,100,97,93,91,69,91,73,57,96,76,96,81,59,97,90,98,87,99,91,100,96,69,42,67,61,59,97,100,82,65,11,96,72,94,66,3,27,20,0,0,78,82,37,41,8,0,0,80,18,74,30,40,13,54,42,0,0,18,41,91,15,85,64,51,67,21,0,4,12,7,91,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,34,47,100,48,100,100,100,95,99,98,38,0,98,100,0,35,98,100,100,100,100,100,100,99,93,31,48,99,36
"Bernardo Silva","D (L), M/AM (RC), ST (C)",29,"5'8""","141 lbs","-","Man City","English Premier Division","POR","-","Perfectionist","Level-headed","£250,000 p/w","Not for Sale","-","Left",44,3740,7.72,0,85,99,85,84,99,89,60,98,85,99,86,68,86,100,92,85,64,98,86,64,31,98,81,81,99,88,87,69,64,100,92,100,92,98,85,100,93,100,94,98,85,66,100,89,99,87,66,87,91,48,90,48,34,60,94,75,100,96,93,100,99,97,97,83,95,77,45,97,77,95,74,46,97,85,98,82,100,88,100,94,67,38,58,49,45,95,100,0,0,0,99,85,99,87,7,63,43,49,18,56,84,30,47,8,0,0,86,23,58,9,11,3,34,13,26,7,24,30,96,1,0,74,22,80,35,1,9,19,16,67,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,24,47,100,44,100,100,100,89,98,99,46,0,99,100,0,44,96,100,100,100,100,100,100,100,96,29,50,96,52
"Erling Haaland","ST (C)",23,"6'5""","205 lbs","-","Man City","English Premier Division","NOR (ENG)","-","Driven","Evasive","£375,000 p/w","Not for Sale","-","Left",43,2976,7.44,0,69.21,100,97,96,100,97,49,100,95,99,91,40,91,99,92,92,16,99,93,99,92,88,68,70,95,82,49,58,47,100,97,100,97,100,93,99,94,99,92,99,90,66,100,99,100,99,83,97,60,1,60,5,21,8,41,10,73,38,76,76,41,83,57,28,48,24,70,62,32,55,29,71,96,89,96,80,76,24,73,29,43,16,89,60,51,68,89,99,100,100,67,20,69,23,46,63,85,0,0,4,55,8,15,1,0,0,98,86,96,89,65,5,28,67,40,19,89,54,99,1,97,95,9,48,8,0,1,12,4,34,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,34,42,100,48,100,89,100,16,98,56,30,0,85,85,0,30,61,93,95,98,94,95,94,97,99,76,37,91,52
"Jude Bellingham","DM, M/AM (C)",20,"6'1""","163 lbs","-","R. Madrid","Spanish First Division","ENG (IRL)","-","Perfectionist","Evasive","£350,000 p/w","£236M - £257M","-","Right",50,4217,7.42,0,84.34,97,73,73,99,85,49,80,70,98,74,47,75,100,88,67,54,81,70,99,85,98,79,80,100,95,6,34,54,99,85,100,93,20,52,99,87,100,94,20,52,43,100,87,99,83,56,85,97,64,97,62,44,65,97,66,100,91,79,100,97,86,78,48,74,38,57,85,55,83,48,58,100,98,99,87,100,72,100,86,66,98,83,95,90,72,96,0,0,0,98,61,98,62,6,45,46,62,28,35,96,54,73,24,22,3,90,22,87,45,57,10,68,59,80,50,23,60,94,0,10,58,21,75,20,26,45,34,35,58,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,15,100,13,100,99,100,62,86,96,59,0,83,98,0,53,98,97,100,99,100,99,99,99,90,66,69,95,80
"Harry Kane","AM (C), ST (C)",30,"6'2""","189 lbs","-","FC Bayern","Bundesliga","ENG (IRL)","-","Model Professional","Evasive","£350,000 p/w","£182M - £244M","-","Right",38,3067,7.42,0,80.71,100,97,96,100,96,84,100,96,100,95,80,95,99,93,95,54,100,96,86,61,88,68,68,99,95,1,14,19,100,97,100,97,99,90,100,95,100,96,99,90,85,99,93,100,96,88,88,64,7,63,9,16,13,50,15,90,70,93,90,67,96,63,36,60,34,65,65,34,55,29,65,99,97,100,95,78,26,76,32,47,23,80,56,46,38,73,97,98,20,75,31,73,29,25,35,63,0,0,22,56,8,47,12,0,0,99,88,94,82,52,2,18,55,49,26,90,37,98,9,97,90,35,26,1,1,5,20,13,44,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,99,100,31,92,83,29,0,74,83,0,24,64,86,98,99,93,97,97,99,99,77,36,86,53
"Robert Lewandowski","AM (C), ST (C)",35,"6'1""","176 lbs","-","Barcelona","Spanish First Division","POL","-","Professional","Evasive","£450,000 p/w","Not for Sale","-","Right",49,4312,7.24,0,88,100,91,91,100,95,60,99,87,100,88,51,88,100,93,89,43,99,89,86,37,88,51,50,89,43,91,73,78,100,93,100,91,99,88,100,91,100,88,100,89,62,100,96,100,97,86,87,78,15,77,15,13,14,59,15,95,60,84,91,45,75,54,16,38,9,60,59,18,44,11,60,82,50,85,41,93,29,79,22,13,15,54,32,22,48,87,97,94,11,73,12,64,6,10,9,58,0,0,11,68,9,47,7,0,0,100,80,98,78,58,1,29,60,49,16,83,37,100,4,100,92,42,68,13,0,9,20,16,44,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,24,37,100,46,100,94,100,28,86,43,16,0,70,91,0,16,47,95,89,94,77,90,88,95,98,71,28,88,25
"Rodri","D (C), DM, M (C)",27,"6'3""","165 lbs","-","Man City","English Premier Division","ESP","-","Professional","Unflappable","£475,000 p/w","Not for Sale","-","Right",19,1553,7.44,0,81.74,0,18,18,16,0,4,81,75,0,18,70,19,16,0,78,5,81,75,0,0,98,98,98,97,99,98,95,100,87,89,83,78,96,92,88,90,83,81,96,93,68,32,19,20,19,34,24,73,84,74,84,70,79,72,63,71,75,50,74,82,54,44,31,38,33,82,48,35,44,40,82,76,77,62,63,69,58,74,87,82,99,99,99,99,33,51,0,0,0,70,76,71,77,38,51,39,33,38,74,54,34,41,29,51,48,59,41,76,74,88,65,95,91,65,61,43,94,46,36,24,29,45,45,30,26,33,8,100,73,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,24,32,100,30,100,51,100,65,46,89,75,0,33,95,0,69,99,92,89,82,86,82,89,79,57,80,75,100,86
"Vinícius Júnior","M (L), AM (RL), ST (C)",23,"5'9""","160 lbs","Inj","R. Madrid","Spanish First Division","BRA (ESP)","-","Perfectionist","Outspoken","£350,000 p/w","£164M - £196M","-","Right",43,3716,7.17,0,86.42,100,97,96,100,93,78,100,97,100,96,87,96,100,94,97,74,100,97,86,46,81,46,48,93,62,36,58,46,100,96,99,91,100,96,100,96,99,91,100,96,87,100,89,100,95,89,77,71,11,71,12,27,16,57,18,86,47,79,89,51,85,67,36,68,36,79,74,41,78,44,79,94,77,93,63,85,27,78,26,24,18,77,52,37,67,92,0,0,0,77,22,74,18,20,27,66,0,0,4,64,10,34,4,0,0,97,64,70,21,11,0,13,13,0,0,67,2,100,0,99,96,11,51,6,0,4,27,11,40,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,34,42,100,50,100,89,100,30,93,57,6,0,73,84,0,14,59,91,93,97,93,93,94,96,99,40,25,82,24
